Node	node_type	bigg_id	universal_bigg_id	metabolite_name	Super.class	bigg_model_list	database_links
Ornithine	metabolite	orn_e	orn	Ornithine	Organic acids and derivatives	iEC1364_W; iCHOv1; iEC1349_Crooks; Recon3D; iYS854; iEK1008; iEC1356_Bl21DE3; iML1515; iCHOv1_DG44; iAM_Pv461; iEC1372_W3110; iEC1344_C; iCN718; iAM_Pf480; iAM_Pc455; iAM_Pb448; iJN1463; iEC1368_DH5a; iYS1720; iAM_Pk459; iEcolC_1368; iECIAI39_1322; iECO26_1355; iECOK1_1307; iECS88_1305; iECO111_1330; iECSE_1348; iECO103_1326; iECs_1301; iECP_1309; iECIAI1_1343; iECNA114_1301; iEcHS_1320; iECABU_c1320; iECED1_1282; iEC55989_1330; iECD_1391; iECDH1ME8569_1439; iECDH10B_1368; iEcE24377_1341; iECH74115_1262; iECBD_1354; iECB_1328; iEcDH1_1363; iMM904; iIT341; iAF1260; iSB619; iJO1366; iEC042_1314; iSF_1195; ic_1306; iBWG_1329; iND750; iJN746; iB21_1397; iE2348C_1286; iPC815; iNJ661; iAPECO1_1312; iRC1080; iMM1415; iYL1228; iAF1260b; RECON1; iAT_PLT_636; STM_v1_0; iY75_1357; iLF82_1304; iECSP_1301; iECW_1372; iNRG857_1313; iEcSMS35_1347; iETEC_1333; iG2583_1286; iECSF_1327; iS_1188; iEKO11_1354; iECUMN_1333; iSFV_1184; iJR904; iUMNK88_1353; iSBO_1134; iSFxv_1172; iWFL_1372; iZ_1308; iSDY_1059; iSSON_1240; iSbBS512_1146; iUTI89_1310; iUMN146_1321	Reactome Compound: http://identifiers.org/reactome/R-ALL-113585; Reactome Compound: http://identifiers.org/reactome/R-ALL-113586; Reactome Compound: http://identifiers.org/reactome/R-ALL-29498; InChI Key: https://identifiers.org/inchikey/AHLPHDHHMVZTML-BYPYZUCNSA-O; KEGG Compound: http://identifiers.org/kegg.compound/C00077; KEGG Compound: http://identifiers.org/kegg.compound/C01602; CHEBI: http://identifiers.org/chebi/CHEBI:11448; CHEBI: http://identifiers.org/chebi/CHEBI:13148; CHEBI: http://identifiers.org/chebi/CHEBI:15729; CHEBI: http://identifiers.org/chebi/CHEBI:18257; CHEBI: http://identifiers.org/chebi/CHEBI:19370; CHEBI: http://identifiers.org/chebi/CHEBI:21367; CHEBI: http://identifiers.org/chebi/CHEBI:32964; CHEBI: http://identifiers.org/chebi/CHEBI:44667; CHEBI: http://identifiers.org/chebi/CHEBI:46911; CHEBI: http://identifiers.org/chebi/CHEBI:46912; CHEBI: http://identifiers.org/chebi/CHEBI:46913; CHEBI: http://identifiers.org/chebi/CHEBI:46914; CHEBI: http://identifiers.org/chebi/CHEBI:6280; CHEBI: http://identifiers.org/chebi/CHEBI:7784; KEGG Drug: http://identifiers.org/kegg.drug/D08302; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00214; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00818; Human Metabolome Database: http://identifiers.org/hmdb/HMDB04984; Human Metabolome Database: http://identifiers.org/hmdb/HMDB32455; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62654; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62718; LipidMaps: http://identifiers.org/lipidmaps/LMFA01100057; BioCyc: http://identifiers.org/biocyc/META:L-ORNITHINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM89689; SEED Compound: http://identifiers.org/seed.compound/cpd00064; SEED Compound: http://identifiers.org/seed.compound/cpd19016
Phenylacetaldehyde	metabolite	pacald_e	pacald	Phenylacetaldehyde	Benzenoids	iAF1260b; iY75_1357; iYL1228; STM_v1_0; iEC1356_Bl21DE3; iEC1364_W; iNF517; iEC1349_Crooks; iML1515; iEC55989_1330; iECB_1328; iECBD_1354; iECDH1ME8569_1439; iECABU_c1320; iECDH10B_1368; iECH74115_1262; iEcDH1_1363; iECED1_1282; iECD_1391; iEcE24377_1341; iEcHS_1320; iUMN146_1321; iSSON_1240; iSFxv_1172; iSDY_1059; iZ_1308; iSbBS512_1146; iUMNK88_1353; iSFV_1184; iUTI89_1310; iSBO_1134; iWFL_1372; iYS1720; iJN1463; iEC1368_DH5a; iEC1344_C; iEC1372_W3110; iPC815; iAF1260; iMM904; iEC042_1314; iSF_1195; iBWG_1329; iE2348C_1286; iB21_1397; iJO1366; iAPECO1_1312; ic_1306; iECIAI1_1343; iECP_1309; iECO26_1355; iECs_1301; iECOK1_1307; iECO111_1330; iECS88_1305; iECSE_1348; iEcolC_1368; iECO103_1326; iECNA114_1301; iECIAI39_1322; iECW_1372; iECUMN_1333; iLF82_1304; iECSP_1301; iS_1188; iNRG857_1313; iECSF_1327; iEcSMS35_1347; iEKO11_1354; iETEC_1333; iG2583_1286	Reactome Compound: http://identifiers.org/reactome/R-ALL-500607; KEGG Compound: http://identifiers.org/kegg.compound/C00601; CHEBI: http://identifiers.org/chebi/CHEBI:14778; CHEBI: http://identifiers.org/chebi/CHEBI:16424; CHEBI: http://identifiers.org/chebi/CHEBI:25972; CHEBI: http://identifiers.org/chebi/CHEBI:43163; CHEBI: http://identifiers.org/chebi/CHEBI:8084; InChI Key: https://identifiers.org/inchikey/DTUQWGWMVIHBKE-UHFFFAOYSA-N; Human Metabolome Database: http://identifiers.org/hmdb/HMDB06236; BioCyc: http://identifiers.org/biocyc/META:PHENYLACETALDEHYDE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM473; SEED Compound: http://identifiers.org/seed.compound/cpd00464
Phosphate	metabolite	pi_e	pi	Phosphate	Homogeneous non-metal compounds	iIS312_Epimastigote; iEC1368_DH5a; iIS312; iYS1720; iAM_Pc455; iIS312_Amastigote; iAM_Pk459; iEC1372_W3110; iCN900; iAM_Pb448; iSynCJ816; iEC1344_C; iAM_Pv461; iIS312_Trypomastigote; iJN1463; iCN718; iAM_Pf480; iIT341; iPC815; iNJ661; iSB619; iAPECO1_1312; iJN746; iEC042_1314; iB21_1397; ic_1306; iJO1366; iMM904; iE2348C_1286; iSF_1195; iBWG_1329; iAF1260; iND750; iNRG857_1313; iECUMN_1333; iEKO11_1354; iECSP_1301; iECSF_1327; iS_1188; iECW_1372; iG2583_1286; iETEC_1333; iLF82_1304; iEcSMS35_1347; iECIAI1_1343; iECS88_1305; iECO111_1330; iECO103_1326; iECP_1309; iEcolC_1368; iECSE_1348; iECs_1301; iECO26_1355; iECOK1_1307; iECNA114_1301; iECIAI39_1322; iMM1415; iAB_RBC_283; iYO844; iJN678; STM_v1_0; iY75_1357; iAF987; iAT_PLT_636; iAF692; iYL1228; RECON1; iLJ478; iAF1260b; iRC1080; iHN637; iCHOv1; iLB1027_lipid; iCHOv1_DG44; iML1515; iJB785; iEK1008; iEC1356_Bl21DE3; iEC1349_Crooks; iYS854; Recon3D; iNF517; iEC1364_W; iJR904; iUMNK88_1353; iZ_1308; e_coli_core; iSBO_1134; iUMN146_1321; iSbBS512_1146; iUTI89_1310; iSFV_1184; iSDY_1059; iSSON_1240; iSFxv_1172; iWFL_1372; iECED1_1282; iEcHS_1320; iEC55989_1330; iECH74115_1262; iEcE24377_1341; iEcDH1_1363; iECABU_c1320; iECBD_1354; iECDH1ME8569_1439; iECD_1391; iECDH10B_1368; iECB_1328	Reactome Compound: http://identifiers.org/reactome/R-ALL-109277; Reactome Compound: http://identifiers.org/reactome/R-ALL-113548; Reactome Compound: http://identifiers.org/reactome/R-ALL-113550; Reactome Compound: http://identifiers.org/reactome/R-ALL-113551; Reactome Compound: http://identifiers.org/reactome/R-ALL-29372; Reactome Compound: http://identifiers.org/reactome/R-ALL-5228339; Reactome Compound: http://identifiers.org/reactome/R-ALL-8851226; Reactome Compound: http://identifiers.org/reactome/R-ALL-8851513; KEGG Compound: http://identifiers.org/kegg.compound/C00009; CHEBI: http://identifiers.org/chebi/CHEBI:14791; CHEBI: http://identifiers.org/chebi/CHEBI:18367; CHEBI: http://identifiers.org/chebi/CHEBI:26020; CHEBI: http://identifiers.org/chebi/CHEBI:26078; CHEBI: http://identifiers.org/chebi/CHEBI:29137; CHEBI: http://identifiers.org/chebi/CHEBI:29139; CHEBI: http://identifiers.org/chebi/CHEBI:35780; CHEBI: http://identifiers.org/chebi/CHEBI:39739; CHEBI: http://identifiers.org/chebi/CHEBI:39745; CHEBI: http://identifiers.org/chebi/CHEBI:43470; CHEBI: http://identifiers.org/chebi/CHEBI:43474; CHEBI: http://identifiers.org/chebi/CHEBI:45024; CHEBI: http://identifiers.org/chebi/CHEBI:7793; KEGG Drug: http://identifiers.org/kegg.drug/D05467; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00973; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01429; Human Metabolome Database: http://identifiers.org/hmdb/HMDB02105; Human Metabolome Database: http://identifiers.org/hmdb/HMDB02142; Human Metabolome Database: http://identifiers.org/hmdb/HMDB05947; BioCyc: http://identifiers.org/biocyc/META:CPD-16459; BioCyc: http://identifiers.org/biocyc/META:PHOSPHATE-GROUP; BioCyc: http://identifiers.org/biocyc/META:Pi; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM9; InChI Key: https://identifiers.org/inchikey/NBIIXXVUZAFLBC-UHFFFAOYSA-L; SEED Compound: http://identifiers.org/seed.compound/cpd00009; SEED Compound: http://identifiers.org/seed.compound/cpd27787
Putrescine	metabolite	ptrc_p	ptrc	Putrescine	Organic nitrogen compounds	iEcDH1_1363; iECD_1391; iECBD_1354; iECDH10B_1368; iEC55989_1330; iEcE24377_1341; iECABU_c1320; iECB_1328; iECDH1ME8569_1439; iECH74115_1262; iECED1_1282; iECS88_1305; iEcolC_1368; iECIAI39_1322; iECO103_1326; iECP_1309; iECs_1301; iECNA114_1301; iECO26_1355; iECO111_1330; iECOK1_1307; iEcHS_1320; iECIAI1_1343; iJN746; iAF1260; iE2348C_1286; iBWG_1329; ic_1306; iAPECO1_1312; iJO1366; iSF_1195; iEC042_1314; iB21_1397; iPC815; iSynCJ816; iEC1364_W; iEC1368_DH5a; iEC1372_W3110; iEC1344_C; iJN1463; iYS1720; iWFL_1372; iSDY_1059; iZ_1308; iUMNK88_1353; iUTI89_1310; iSFxv_1172; iUMN146_1321; iSFV_1184; iSBO_1134; iSSON_1240; iSbBS512_1146; iJB785; iEC1356_Bl21DE3; iEC1349_Crooks; iML1515; iYL1228; STM_v1_0; iJN678; iY75_1357; iAF1260b; iS_1188; iECSP_1301; iLF82_1304; iNRG857_1313; iEKO11_1354; iECSF_1327; iECW_1372; iETEC_1333; iG2583_1286; iEcSMS35_1347; iECSE_1348; iECUMN_1333	Reactome Compound: http://identifiers.org/reactome/R-ALL-141350; Reactome Compound: http://identifiers.org/reactome/R-ALL-29610; KEGG Compound: http://identifiers.org/kegg.compound/C00134; CHEBI: http://identifiers.org/chebi/CHEBI:14972; CHEBI: http://identifiers.org/chebi/CHEBI:17148; CHEBI: http://identifiers.org/chebi/CHEBI:26405; CHEBI: http://identifiers.org/chebi/CHEBI:326268; CHEBI: http://identifiers.org/chebi/CHEBI:45092; CHEBI: http://identifiers.org/chebi/CHEBI:8650; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01414; Human Metabolome Database: http://identifiers.org/hmdb/HMDB60243; InChI Key: https://identifiers.org/inchikey/KIDHWZJUCRJVML-UHFFFAOYSA-P; BioCyc: http://identifiers.org/biocyc/META:PUTRESCINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM118; SEED Compound: http://identifiers.org/seed.compound/cpd00118; SEED Compound: http://identifiers.org/seed.compound/cpd12215
R  Acetoin C4H8O2	metabolite	actn__R_e	actn__R	R  Acetoin C4H8O2	Organic oxygen compounds	iYO844; iAF692; iCN900; iJN1463; iNF517; iYS854	KEGG Compound: http://identifiers.org/kegg.compound/C00810; CHEBI: http://identifiers.org/chebi/CHEBI:10968; CHEBI: http://identifiers.org/chebi/CHEBI:10996; CHEBI: http://identifiers.org/chebi/CHEBI:15686; CHEBI: http://identifiers.org/chebi/CHEBI:18680; CHEBI: http://identifiers.org/chebi/CHEBI:335; CHEBI: http://identifiers.org/chebi/CHEBI:43026; LipidMaps: http://identifiers.org/lipidmaps/LMFA12000064; BioCyc: http://identifiers.org/biocyc/META:CPD-10353; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM664; InChI Key: https://identifiers.org/inchikey/ROWKJAVDOGWPAT-GSVOUGTGSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd19008
Reduced ferredoxin	metabolite	fdxrd_c	fdxrd	Reduced ferredoxin	Unknown	iYS854; iEK1008; iLB1027_lipid; iJB785; iJN678; iRC1080; iSynCJ816; iCN900; iNJ661; iSB619; iIT341	KEGG Compound: http://identifiers.org/kegg.compound/C00138; CHEBI: http://identifiers.org/chebi/CHEBI:15024; CHEBI: http://identifiers.org/chebi/CHEBI:17513; CHEBI: http://identifiers.org/chebi/CHEBI:8792; BioCyc: http://identifiers.org/biocyc/META:Reduced-ferredoxins; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM169; SEED Compound: http://identifiers.org/seed.compound/cpd11620
S-Acetyldihydrolipoamide	metabolite	adhlam_c	adhlam	S-Acetyldihydrolipoamide	Lipids and lipid-like molecules	iCN718; iSynCJ816; iJN1463; iNJ661; iJN746; iJN678; iYS854; iEK1008	InChI Key: https://identifiers.org/inchikey/ARGXEXVCHMNAQU-UHFFFAOYSA-N; KEGG Compound: http://identifiers.org/kegg.compound/C01136; CHEBI: http://identifiers.org/chebi/CHEBI:12738; CHEBI: http://identifiers.org/chebi/CHEBI:16807; CHEBI: http://identifiers.org/chebi/CHEBI:22029; CHEBI: http://identifiers.org/chebi/CHEBI:8940; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01526; Human Metabolome Database: http://identifiers.org/hmdb/HMDB06951; LipidMaps: http://identifiers.org/lipidmaps/LMFA08010023; BioCyc: http://identifiers.org/biocyc/META:S-ACETYLDIHYDROLIPOAMIDE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM4815; SEED Compound: http://identifiers.org/seed.compound/cpd00836
"Sedoheptulose 1,7-bisphosphate"	metabolite	s17bp_c	s17bp	"Sedoheptulose 1,7-bisphosphate"	Organic oxygen compounds	iLJ478; iJN678; iY75_1357; iHN637; iJB785; iYS854; iEC1349_Crooks; iEC1356_Bl21DE3; iML1515; iEcDH1_1363; iEC55989_1330; iECABU_c1320; iECD_1391; iECB_1328; iECDH10B_1368; iECBD_1354; iECDH1ME8569_1439; iEcE24377_1341; iECH74115_1262; iECED1_1282; iEcHS_1320; iSDY_1059; iUMNK88_1353; iWFL_1372; iSBO_1134; iSFV_1184; iUMN146_1321; iUTI89_1310; iSFxv_1172; iZ_1308; iSbBS512_1146; iSSON_1240; iEC1372_W3110; iEC1368_DH5a; iEC1364_W; iCN900; iEC1344_C; iSynCJ816; iECOK1_1307; iECO111_1330; iECNA114_1301; iECIAI39_1322; iECIAI1_1343; iECs_1301; iECP_1309; iECO26_1355; iEcolC_1368; iECO103_1326; iECS88_1305; iECSE_1348; iETEC_1333; iEcSMS35_1347; iEKO11_1354; iG2583_1286; iNRG857_1313; iLF82_1304; iECSP_1301; iS_1188; iECW_1372; iECUMN_1333; iECSF_1327; iB21_1397; iE2348C_1286; ic_1306; iAPECO1_1312; iJO1366; iND750; iBWG_1329; iSF_1195; iEC042_1314; iMM904	KEGG Compound: http://identifiers.org/kegg.compound/C00447; CHEBI: http://identifiers.org/chebi/CHEBI:15072; CHEBI: http://identifiers.org/chebi/CHEBI:17969; CHEBI: http://identifiers.org/chebi/CHEBI:26620; CHEBI: http://identifiers.org/chebi/CHEBI:58335; CHEBI: http://identifiers.org/chebi/CHEBI:9081; Human Metabolome Database: http://identifiers.org/hmdb/HMDB60274; BioCyc: http://identifiers.org/biocyc/META:D-SEDOHEPTULOSE-1-7-P2; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1294; InChI Key: https://identifiers.org/inchikey/OKHXOUGRECCASI-SHUUEZRQSA-J; SEED Compound: http://identifiers.org/seed.compound/cpd00349
Succinate	metabolite	succ_e	succ	Succinate	Organic acids and derivatives	iSF_1195; iJO1366; iAF1260; iEC042_1314; iIT341; iB21_1397; iND750; iBWG_1329; iE2348C_1286; iNJ661; ic_1306; iMM904; iAPECO1_1312; iJN746; iPC815; iAF1260b; iRC1080; iYL1228; iJN678; STM_v1_0; iAT_PLT_636; RECON1; iY75_1357; iYO844; iMM1415; iZ_1308; iSSON_1240; iUTI89_1310; iJR904; iSDY_1059; iWFL_1372; iSBO_1134; iUMN146_1321; iSbBS512_1146; iSFV_1184; e_coli_core; iSFxv_1172; iUMNK88_1353; iS_1188; iECSF_1327; iEKO11_1354; iECUMN_1333; iECW_1372; iNRG857_1313; iECSP_1301; iLF82_1304; iG2583_1286; iETEC_1333; iEcSMS35_1347; iYS854; iEC1349_Crooks; iCHOv1_DG44; iCHOv1; iEK1008; iEC1356_Bl21DE3; iML1515; Recon3D; iEC1364_W; iNF517; iAM_Pv461; iCN900; iCN718; iEC1368_DH5a; iAM_Pc455; iAM_Pf480; iIS312_Trypomastigote; iAM_Pk459; iIS312_Amastigote; iJN1463; iEC1372_W3110; iAM_Pb448; iSynCJ816; iIS312_Epimastigote; iYS1720; iEC1344_C; iIS312; iEcE24377_1341; iECH74115_1262; iECABU_c1320; iECED1_1282; iEcHS_1320; iECDH1ME8569_1439; iECDH10B_1368; iECD_1391; iEcDH1_1363; iECBD_1354; iECB_1328; iEC55989_1330; iECNA114_1301; iECO103_1326; iECS88_1305; iECIAI1_1343; iECO111_1330; iECs_1301; iECSE_1348; iECP_1309; iECIAI39_1322; iECOK1_1307; iECO26_1355; iEcolC_1368	Reactome Compound: http://identifiers.org/reactome/R-ALL-113536; Reactome Compound: http://identifiers.org/reactome/R-ALL-159939; Reactome Compound: http://identifiers.org/reactome/R-ALL-29434; Reactome Compound: http://identifiers.org/reactome/R-ALL-389583; Reactome Compound: http://identifiers.org/reactome/R-ALL-433123; Reactome Compound: http://identifiers.org/reactome/R-ALL-5278787; KEGG Compound: http://identifiers.org/kegg.compound/C00042; CHEBI: http://identifiers.org/chebi/CHEBI:132287; CHEBI: http://identifiers.org/chebi/CHEBI:15125; CHEBI: http://identifiers.org/chebi/CHEBI:15741; CHEBI: http://identifiers.org/chebi/CHEBI:22941; CHEBI: http://identifiers.org/chebi/CHEBI:22943; CHEBI: http://identifiers.org/chebi/CHEBI:26803; CHEBI: http://identifiers.org/chebi/CHEBI:26807; CHEBI: http://identifiers.org/chebi/CHEBI:30031; CHEBI: http://identifiers.org/chebi/CHEBI:30779; CHEBI: http://identifiers.org/chebi/CHEBI:45639; CHEBI: http://identifiers.org/chebi/CHEBI:90372; CHEBI: http://identifiers.org/chebi/CHEBI:9304; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00254; InChI Key: https://identifiers.org/inchikey/KDYFGRWQOYBRFD-UHFFFAOYSA-L; LipidMaps: http://identifiers.org/lipidmaps/LMFA01170043; BioCyc: http://identifiers.org/biocyc/META:SUC; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM25; SEED Compound: http://identifiers.org/seed.compound/cpd00036
Sulfite	metabolite	so3_e	so3	Sulfite	Homogeneous non-metal compounds	iSDY_1059; iUTI89_1310; iWFL_1372; iSBO_1134; iSbBS512_1146; iSFxv_1172; iZ_1308; iUMNK88_1353; iUMN146_1321; iSSON_1240; iSFV_1184; iECD_1391; iEcE24377_1341; iEcDH1_1363; iECB_1328; iECABU_c1320; iECED1_1282; iEC55989_1330; iECBD_1354; iEcHS_1320; iECDH10B_1368; iECH74115_1262; iECDH1ME8569_1439; iEC1368_DH5a; iCN900; iEC1372_W3110; iJN1463; iEC1344_C; iYS1720; iEC1356_Bl21DE3; iML1515; iLB1027_lipid; iEC1349_Crooks; iEC1364_W; Recon3D; iECS88_1305; iECO26_1355; iECIAI39_1322; iECP_1309; iEcolC_1368; iECIAI1_1343; iECO111_1330; iECSE_1348; iECs_1301; iECNA114_1301; iECO103_1326; iECOK1_1307; iECSP_1301; iECUMN_1333; iLF82_1304; iETEC_1333; iECW_1372; iNRG857_1313; iECSF_1327; iEcSMS35_1347; iS_1188; iEKO11_1354; iG2583_1286; iPC815; ic_1306; iE2348C_1286; iMM904; iEC042_1314; iAF1260; iB21_1397; iAPECO1_1312; iBWG_1329; iJO1366; iSF_1195; iRC1080; iAF987; iAF692; iAF1260b; iY75_1357; iYL1228; STM_v1_0	KEGG Compound: http://identifiers.org/kegg.compound/C00094; KEGG Compound: http://identifiers.org/kegg.compound/C11481; CHEBI: http://identifiers.org/chebi/CHEBI:13367; CHEBI: http://identifiers.org/chebi/CHEBI:15139; CHEBI: http://identifiers.org/chebi/CHEBI:17137; CHEBI: http://identifiers.org/chebi/CHEBI:17359; CHEBI: http://identifiers.org/chebi/CHEBI:26837; CHEBI: http://identifiers.org/chebi/CHEBI:29214; CHEBI: http://identifiers.org/chebi/CHEBI:33543; CHEBI: http://identifiers.org/chebi/CHEBI:45548; CHEBI: http://identifiers.org/chebi/CHEBI:48854; CHEBI: http://identifiers.org/chebi/CHEBI:5598; CHEBI: http://identifiers.org/chebi/CHEBI:9344; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00240; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01033; Human Metabolome Database: http://identifiers.org/hmdb/HMDB03008; Human Metabolome Database: http://identifiers.org/hmdb/HMDB34829; InChI Key: https://identifiers.org/inchikey/LSNNMFCWUKXFEE-UHFFFAOYSA-L; BioCyc: http://identifiers.org/biocyc/META:H2SO3; BioCyc: http://identifiers.org/biocyc/META:HSO3; BioCyc: http://identifiers.org/biocyc/META:SO3; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM105630; SEED Compound: http://identifiers.org/seed.compound/cpd00081
Toluene	metabolite	tol_e	tol	Toluene	Benzenoids	iJN746; iJN1463; iAF987	KEGG Compound: http://identifiers.org/kegg.compound/C01455; CHEBI: http://identifiers.org/chebi/CHEBI:15248; CHEBI: http://identifiers.org/chebi/CHEBI:17578; CHEBI: http://identifiers.org/chebi/CHEBI:27022; CHEBI: http://identifiers.org/chebi/CHEBI:44023; CHEBI: http://identifiers.org/chebi/CHEBI:9624; Human Metabolome Database: http://identifiers.org/hmdb/HMDB34168; BioCyc: http://identifiers.org/biocyc/META:TOLUENE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM889; InChI Key: https://identifiers.org/inchikey/YXFVVABEGXRONW-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd01034
Uridine	metabolite	uri_c	uri	Uridine	"Nucleosides, nucleotides, and analogues"	iYS854; iEC1356_Bl21DE3; iEC1349_Crooks; iCHOv1_DG44; iLB1027_lipid; iML1515; iCHOv1; iNF517; Recon3D; iEK1008; iEC1368_DH5a; iAM_Pv461; iCN718; iEC1344_C; iAM_Pf480; iEC1372_W3110; iJN1463; iYS1720; iAM_Pc455; iCN900; iAM_Pk459; iAM_Pb448; iEC1364_W; iECO103_1326; iECNA114_1301; iECO111_1330; iECIAI1_1343; iECOK1_1307; iEcolC_1368; iECIAI39_1322; iECs_1301; iECP_1309; iECO26_1355; iECS88_1305; iEcHS_1320; iEC55989_1330; iECABU_c1320; iECBD_1354; iEcDH1_1363; iECDH1ME8569_1439; iEcE24377_1341; iECED1_1282; iECB_1328; iECH74115_1262; iECD_1391; iECDH10B_1368; iAF1260; iE2348C_1286; iB21_1397; iND750; iSB619; iEC042_1314; iJO1366; iJN746; iPC815; iSF_1195; iBWG_1329; iIT341; iAPECO1_1312; iMM904; ic_1306; iNJ661; iLJ478; STM_v1_0; iAF1260b; iAB_RBC_283; iAT_PLT_636; RECON1; iYL1228; iMM1415; iY75_1357; iYO844; iRC1080; iHN637; iECSE_1348; iECW_1372; iNRG857_1313; iETEC_1333; iEKO11_1354; iECSF_1327; iECSP_1301; iS_1188; iECUMN_1333; iLF82_1304; iEcSMS35_1347; iG2583_1286; iUMN146_1321; iJR904; iSDY_1059; iWFL_1372; iUMNK88_1353; iZ_1308; iSbBS512_1146; iSFxv_1172; iSBO_1134; iSSON_1240; iUTI89_1310; iSFV_1184	KEGG Compound: http://identifiers.org/kegg.compound/C00299; CHEBI: http://identifiers.org/chebi/CHEBI:15296; CHEBI: http://identifiers.org/chebi/CHEBI:16704; CHEBI: http://identifiers.org/chebi/CHEBI:27227; CHEBI: http://identifiers.org/chebi/CHEBI:46386; CHEBI: http://identifiers.org/chebi/CHEBI:46391; CHEBI: http://identifiers.org/chebi/CHEBI:46460; CHEBI: http://identifiers.org/chebi/CHEBI:46463; CHEBI: http://identifiers.org/chebi/CHEBI:9893; InChI Key: https://identifiers.org/inchikey/DRTQHJPVMGBUCF-XVFCMESISA-N; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00296; BioCyc: http://identifiers.org/biocyc/META:URIDINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM288; SEED Compound: http://identifiers.org/seed.compound/cpd00249
Zinc	metabolite	zn2_e	zn2	Zinc	Homogeneous non-metal compounds	iEKO11_1354; iECUMN_1333; iG2583_1286; iETEC_1333; iS_1188; iECW_1372; iNRG857_1313; iECSP_1301; iECSF_1327; iEcSMS35_1347; iLF82_1304; iSDY_1059; iSSON_1240; iUMN146_1321; iUTI89_1310; iSFV_1184; iUMNK88_1353; iWFL_1372; iSBO_1134; iSbBS512_1146; iZ_1308; iSFxv_1172; iYS854; iJB785; iNF517; iEC1364_W; iEC1349_Crooks; iEC1356_Bl21DE3; Recon3D; iML1515; iAF1260b; iAF692; iYO844; iY75_1357; STM_v1_0; iAF987; iYL1228; iHN637; iJN678; iLJ478; iECB_1328; iEcE24377_1341; iEcDH1_1363; iECDH1ME8569_1439; iECD_1391; iECH74115_1262; iECDH10B_1368; iEC55989_1330; iECBD_1354; iECABU_c1320; iECED1_1282; iEcHS_1320; iECS88_1305; iECIAI39_1322; iECO26_1355; iECNA114_1301; iECO111_1330; iEcolC_1368; iECP_1309; iECs_1301; iECSE_1348; iECO103_1326; iECOK1_1307; iECIAI1_1343; iEC1368_DH5a; iJN1463; iEC1372_W3110; iSynCJ816; iYS1720; iEC1344_C; iCN900; iBWG_1329; iAPECO1_1312; iE2348C_1286; iSB619; iPC815; iJO1366; ic_1306; iSF_1195; iEC042_1314; iAF1260; iB21_1397	Reactome Compound: http://identifiers.org/reactome/R-ALL-158417; Reactome Compound: http://identifiers.org/reactome/R-ALL-216667; Reactome Compound: http://identifiers.org/reactome/R-ALL-216785; Reactome Compound: http://identifiers.org/reactome/R-ALL-29426; Reactome Compound: http://identifiers.org/reactome/R-ALL-435350; Reactome Compound: http://identifiers.org/reactome/R-ALL-437093; Reactome Compound: http://identifiers.org/reactome/R-ALL-442320; KEGG Compound: http://identifiers.org/kegg.compound/C00038; CHEBI: http://identifiers.org/chebi/CHEBI:10113; CHEBI: http://identifiers.org/chebi/CHEBI:27368; CHEBI: http://identifiers.org/chebi/CHEBI:29105; CHEBI: http://identifiers.org/chebi/CHEBI:49972; CHEBI: http://identifiers.org/chebi/CHEBI:49982; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01303; BioCyc: http://identifiers.org/biocyc/META:ZN+2; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM149; InChI Key: https://identifiers.org/inchikey/PTFCDOFLOPIGGS-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00034
Veillonella_sp018367495_L3_098_332G1etc	microbe				microbe		
Pauljensenia_sp900541895_UMGS402	microbe				microbe		
bin1003550	microbe				microbe		
